Latitude_y,Longitude_,richeness_sp,ID_coord_single,pland
"-23,31527778","-46,57027778",98,294,
"-23,26534985","-46,54392438",42,295,
"-23,26337463","-46,54274823",7,296,
"-23,18661265","-46,52412601",59,297,
"-23,18795945","-46,5240045",34,298,
"-23,241","-46,501",8,299,
"-22,84957788","-46,49937184",10,300,
"-22,9763713","-46,49821183",41,301,
"-23,196","-46,498",10,302,
"-22,85150675","-46,49786305",47,303,
"-22,97425737","-46,49636458",22,304,
"-22,82607434","-46,49207001",47,305,
"-23,16318134","-46,49066164",43,306,
"-22,82651364","-46,49048667",12,307,
"-23,16229005","-46,48941133",26,308,
"-22,89704014","-46,48761038",33,309,
"-23,08298165","-46,48713039",31,310,
"-23,08221717","-46,48583346",57,311,
"-22,89699917","-46,48523138",11,312,
"-23,20383651","-46,4823678",60,313,
"-23,20236635","-46,48216595",21,314,
"-23,291","-46,481",16,315,
"-23,24688639","-46,48059534",32,316,
"-23,24792826","-46,48024522",49,317,
"-23,02819086","-46,46661323",32,318,
"-23,02686465","-46,46646227",42,319,
"-23,04077239","-46,45085269",16,320,
"-23,03917516","-46,45070872",35,321,
"-20,636111","-46,428055",10,322,
"-23,23758862","-46,42445508",57,323,
"-23,2372105","-46,42332718",13,324,
"-23,04780636","-46,42218734",30,325,
"-23,04789983","-46,41982659",30,326,
"-20,635555","-46,415277",12,327,
"-23,30432212","-46,40522785",46,328,
"-20,625833","-46,385833",3,329,
"-20,621111","-46,383888",4,330,
"-20,296666","-46,375555",2,331,
"-20,307222","-46,363611",3,332,
"-20,299444","-46,362222",4,333,
"-23,11022414","-46,36159577",10,334,
"-23,11028868","-46,36039546",41,335,
"-23,20924002","-46,32950243",5,336,
"-23,20895579","-46,32786783",42,337,
"-23,232","-46,308",19,338,
"-23,2856195","-46,2971068",54,339,
"-23,323914","-46,28273056",25,340,
"-23,32260558","-46,28259086",50,341,
"-20,448888","-46,275",5,342,
"-20,4475","-46,267222",8,343,
"-23,06537207","-46,26616189",8,344,
"-23,06460735","-46,26466132",40,345,
"-20,454444","-46,264166",4,346,
"-20,457777","-46,260833",3,347,
"-20,4575","-46,26",13,348,
"-23,33373484","-46,24875966",6,349,
"-23,33494623","-46,2486145",48,350,
"-21,446155","-46,148985",44,351,
"-21,42322","-46,123425",39,352,
"-23,03333333","-46,01666667",130,353,
"-21,468982","-45,987713",45,354,
"-21,501779","-45,967375",48,355,
"-21,518041","-45,95604",31,356,
"-21,527723","-45,948254",49,357,
"-21,453323","-45,937118",45,358,
"-21,477391","-45,926256",48,359,
"-21,338688","-45,87693",26,360,
"-23,63333333","-45,86666667",116,361,
"-21,341591","-45,858034",60,362,
"-23,71666667","-45,83333333",78,363,
"-23,531944","-45,686944",32,364,
"-23,531995","-45,68669",89,365,
"-23,53867","-45,684464",83,366,
"-23,538888","-45,683333",37,367,
"-23,528055","-45,682222",15,368,
"-22,936666","-45,6775",74,369,
"-23,534722","-45,674444",26,370,
"-23,535278","-45,673613",83,371,
"-23,76666667","-45,66666667",91,372,
"-23,53333333","-45,66666667",297,373,
"-22,808333","-45,541666",81,374,
"-22,32","-45,2",98,375,
"-21,083333","-44,166666",168,376,
"-19,966666","-43,916666",32,377,
"-20,191666","-43,501666",39,378,
"-20,186111","-43,501666",47,379,
"-20,192222","-43,497222",37,380,
"-19,883333","-43,35",204,381,
"-21,73333333","-43,3",36,382,
"-19,7","-43,066666",74,383,
"-22,516666","-43,016666",57,384,
"-20,8325","-42,933611",47,385,
"-19,133333","-42,933333",56,386,
"-20,750833","-42,931388",43,387,
"-20,7225","-42,924166",34,388,
"-20,779722","-42,923333",46,389,
"-20,815","-42,921111",21,390,
"-20,783888","-42,919722",46,391,
"-20,799444","-42,915833",28,392,
"-20,747222","-42,914166",28,393,
"-20,819444","-42,904722",42,394,
"-20,744722","-42,900555",37,395,
"-20,784444","-42,893888",20,396,
"-20,782222","-42,893888",8,397,
"-20,793055","-42,889444",49,398,
"-20,719444","-42,888888",36,399,
"-20,786666","-42,881388",30,400,
"-20,807777","-42,878888",13,401,
"-20,766666","-42,876388",40,402,
"-20,815833","-42,865",21,403,
"-20,763333","-42,864166",26,404,
"-20,814444","-42,863611",15,405,
"-20,721666","-42,861944",22,406,
"-20,724722","-42,861388",20,407,
"-20,829166","-42,861111",20,408,
"-20,756388","-42,860277",40,409,
"-20,802222","-42,858333",55,410,
"-20,730277","-42,853888",17,411,
"-20,764166","-42,853333",39,412,
"-20,735","-42,853333",12,413,
"-20,822777","-42,85",17,414,
"-20,826944","-42,847777",20,415,
"-20,765833","-42,846388",29,416,
"-20,795277","-42,846111",41,417,
"-20,770277","-42,842777",14,418,
"-20,726944","-42,840833",16,419,
"-20,736111","-42,84",40,420,
"-20,720555","-42,84",14,421,
"-20,718611","-42,838055",15,422,
"-20,780555","-42,836944",20,423,
"-20,743333","-42,830555",27,424,
"-20,780277","-42,819444",31,425,
"-20,720555","-42,8175",33,426,
"-19,766666","-42,65",20,427,
"-19,7","-42,55",8,428,
"-20,666666","-42,5",30,429,
"-20,116666",-42,26,430,
"-19,733333","-41,816666",44,431,
"-16,333333",-41,29,432,
"-20,586389","-40,417278",88,433,
"-20,4","-40,34",168,434,
"-20,29803889","-40,33290556",37,435,
"-16,083333","-40,033333",22,436,
"-19,03",-40,166,437,
"-18,883333","-39,916667",148,438,
"-14,032333","-39,671433",168,439,
"-16,243743","-39,547772",96,440,
"-15,314456","-39,500511",160,441,
"-16,29267","-39,419423",88,442,
"-16,268582","-39,294438",136,443,
"-16,252424","-39,283166",92,444,
"-16,275546","-39,271715",108,445,
"-16,195941","-39,26994",98,446,
"-16,506472","-39,258317",112,447,
"-16,125849","-39,217201",112,448,
"-16,094016","-39,210434",112,449,
"-16,075004","-39,210002",110,450,
"-16,114202","-39,159534",126,451,
"-16,329205","-39,159492",106,452,
"-16,337071","-39,157214",108,453,
"-14,490639","-39,141878",14,454,
"-14,489365","-39,140921",12,455,
"-14,496554","-39,138606",19,456,
"-14,498463","-39,137326",21,457,
"-16,303295","-39,134946",116,458,
"-14,495661","-39,134568",22,459,
"-14,497379","-39,134514",22,460,
"-16,310736","-39,13262",108,461,
"-16,325137","-39,118531",112,462,
"-12,55468","-38,79888",141,463,
"-9,76666667","-36,23333333",97,464,
"-8,14","-35,03",67,465,
"-7,80833333","-34,93333333",49,466,
